"логин";"Договор";"Номер договора";"Текущий статус";"Текущий статус1";"Тарифный план";"Тип договора";"Подключение id"
"15SAR01187";"1036962";"131687948";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2499143"
"15SAR01188";"1036963";"131687950";"Приостановлен системой";" 2";"Ф/Л Саранск  'ТТК-Мечтай ФА2015', 30Мб, 400 руб.";"ФЛ";"2499096"
"15SAR01189";"1036964";"131687952";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2499134"
"15SAR01190";"1036965";"131687953";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай_ФА2015' 60Мб, 500 руб. ";"ФЛ";"2499136"
"15SAR01191";"1036966";"131687957";"Приостановлен системой";" 2";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2499138"
"15SAR01192";"1036987";"131688032";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2499191"
"15SAR01193";"1036989";"131688034";"Приостановлен системой";" 2";"Ф/Л Саранск 'ТТК-Качай_ФА2015' 60Мб, 500 руб. ";"ФЛ";"2499189"
"15SAR01194";"1036990";"131688035";"Приостановлен системой";" 2";"Ф/Л Саранск 'ТТК-Летай', 100Мб, 700 руб.";"ФЛ";"2499187"
"15SAR01195";"1036991";"131688036";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2499185"
"15SAR01197";"1037006";"131688099";"Приостановлен системой";" 2";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2499229"
"15SAR01198";"1037007";"131688101";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай_ФА2015' 60Мб, 500 руб. ";"ФЛ";"2499227"
"15SAR01199";"1037008";"131688104";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай ФА2015', 30Мб, 400 руб.";"ФЛ";"2499225"
"15SAR01200";"1037009";"131688116";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2499223"
"15SAR01201";"1037010";"131688118";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай_ФА2015' 60Мб, 500 руб. ";"ФЛ";"2499221"
"15SAR01202";"1037011";"131688119";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай ФА2015', 30Мб, 400 руб.";"ФЛ";"2499219"
"15SAR01203";"1037015";"131688188";"Приостановлен оператором";" 3";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2499217"
"15SAR01204";"1037017";"131688190";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2499215"
"15SAR01205";"1037018";"131688192";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2499213"
